round,player_id,contribution,total_pool,reward,governance
1,1,0,51,20.2,none
1,2,2,51,18.2,none
1,3,8,51,12.2,none
1,4,9,51,11.2,none
1,5,6,51,14.2,none
1,6,6,51,14.2,none
1,7,6,51,14.2,none
1,8,4,51,16.2,none
1,9,5,51,15.2,none
1,10,5,51,15.2,none
2,1,0,50,20.0,none
2,2,0,50,20.0,none
2,3,10,50,10.0,none
2,4,10,50,10.0,none
2,5,4,50,16.0,none
2,6,4,50,16.0,none
2,7,4,50,16.0,none
2,8,6,50,14.0,none
2,9,6,50,14.0,none
2,10,6,50,14.0,none
3,1,0,54,20.8,none
3,2,1,54,19.8,none
3,3,10,54,10.8,none
3,4,10,54,10.8,none
3,5,6,54,14.8,none
3,6,5,54,15.8,none
3,7,6,54,14.8,none
3,8,6,54,14.8,none
3,9,4,54,16.8,none
3,10,6,54,14.8,none
4,1,0,49,19.8,none
4,2,1,49,18.8,none
4,3,10,49,9.8,none
4,4,9,49,10.8,none
4,5,4,49,15.8,none
4,6,6,49,13.8,none
4,7,5,49,14.8,none
4,8,4,49,15.8,none
4,9,5,49,14.8,none
4,10,5,49,14.8,none
5,1,0,46,19.2,none
5,2,0,46,19.2,none
5,3,10,46,9.2,none
5,4,9,46,10.2,none
5,5,4,46,15.2,none
5,6,5,46,14.2,none
5,7,5,46,14.2,none
5,8,3,46,16.2,none
5,9,5,46,14.2,none
5,10,5,46,14.2,none
6,1,0,43,18.6,none
6,2,0,43,18.6,none
6,3,10,43,8.6,none
6,4,10,43,8.6,none
6,5,4,43,14.6,none
6,6,4,43,14.6,none
6,7,4,43,14.6,none
6,8,4,43,14.6,none
6,9,4,43,14.6,none
6,10,3,43,15.6,none
7,1,1,47,18.4,none
7,2,0,47,19.4,none
7,3,10,47,9.4,none
7,4,10,47,9.4,none
7,5,4,47,15.4,none
7,6,4,47,15.4,none
7,7,4,47,15.4,none
7,8,5,47,14.4,none
7,9,5,47,14.4,none
7,10,4,47,15.4,none
8,1,1,42,17.4,none
8,2,0,42,18.4,none
8,3,10,42,8.4,none
8,4,9,42,9.4,none
8,5,3,42,15.4,none
8,6,4,42,14.4,none
8,7,5,42,13.4,none
8,8,3,42,15.4,none
8,9,4,42,14.4,none
8,10,3,42,15.4,none
9,1,0,39,17.8,none
9,2,0,39,17.8,none
9,3,9,39,8.8,none
9,4,10,39,7.8,none
9,5,3,39,14.8,none
9,6,3,39,14.8,none
9,7,3,39,14.8,none
9,8,5,39,12.8,none
9,9,3,39,14.8,none
9,10,3,39,14.8,none
10,1,1,40,17.0,none
10,2,1,40,17.0,none
10,3,10,40,8.0,none
10,4,9,40,9.0,none
10,5,4,40,14.0,none
10,6,4,40,14.0,none
10,7,2,40,16.0,none
10,8,4,40,14.0,none
10,9,2,40,16.0,none
10,10,3,40,15.0,none
