round,player_id,contribution,total_pool,reward,governance
1,1,2,59,19.8,reward
1,2,1,59,20.8,reward
1,3,9,59,17.8,reward
1,4,10,59,16.8,reward
1,5,7,59,19.8,reward
1,6,5,59,16.8,reward
1,7,6,59,20.8,reward
1,8,6,59,20.8,reward
1,9,6,59,20.8,reward
1,10,7,59,19.8,reward
2,1,0,59,21.8,reward
2,2,0,59,21.8,reward
2,3,10,59,16.8,reward
2,4,10,59,16.8,reward
2,5,5,59,16.8,reward
2,6,7,59,19.8,reward
2,7,7,59,19.8,reward
2,8,7,59,19.8,reward
2,9,6,59,20.8,reward
2,10,7,59,19.8,reward
3,1,1,56,20.2,reward
3,2,1,56,20.2,reward
3,3,10,56,16.2,reward
3,4,9,56,17.2,reward
3,5,5,56,16.2,reward
3,6,7,56,19.2,reward
3,7,6,56,20.2,reward
3,8,5,56,16.2,reward
3,9,7,56,19.2,reward
3,10,5,56,16.2,reward
4,1,0,57,21.4,reward
4,2,0,57,21.4,reward
4,3,10,57,16.4,reward
4,4,10,57,16.4,reward
4,5,6,57,20.4,reward
4,6,6,57,20.4,reward
4,7,7,57,19.4,reward
4,8,7,57,19.4,reward
4,9,6,57,20.4,reward
4,10,5,57,16.4,reward
5,1,0,53,20.6,reward
5,2,0,53,20.6,reward
5,3,9,53,16.6,reward
5,4,10,53,15.6,reward
5,5,5,53,15.6,reward
5,6,5,53,15.6,reward
5,7,7,53,18.6,reward
5,8,7,53,18.6,reward
5,9,5,53,15.6,reward
5,10,5,53,15.6,reward
6,1,1,58,20.6,reward
6,2,1,58,20.6,reward
6,3,10,58,16.6,reward
6,4,10,58,16.6,reward
6,5,5,58,16.6,reward
6,6,7,58,19.6,reward
6,7,5,58,16.6,reward
6,8,6,58,20.6,reward
6,9,6,58,20.6,reward
6,10,7,58,19.6,reward
7,1,0,54,20.8,reward
7,2,0,54,20.8,reward
7,3,10,54,15.8,reward
7,4,9,54,16.8,reward
7,5,5,54,15.8,reward
7,6,6,54,19.8,reward
7,7,6,54,19.8,reward
7,8,6,54,19.8,reward
7,9,6,54,19.8,reward
7,10,6,54,19.8,reward
8,1,1,54,19.8,reward
8,2,0,54,20.8,reward
8,3,9,54,16.8,reward
8,4,9,54,16.8,reward
8,5,5,54,15.8,reward
8,6,6,54,19.8,reward
8,7,5,54,15.8,reward
8,8,7,54,18.8,reward
8,9,7,54,18.8,reward
8,10,5,54,15.8,reward
9,1,0,58,21.6,reward
9,2,1,58,20.6,reward
9,3,10,58,16.6,reward
9,4,10,58,16.6,reward
9,5,7,58,19.6,reward
9,6,6,58,20.6,reward
9,7,6,58,20.6,reward
9,8,6,58,20.6,reward
9,9,6,58,20.6,reward
9,10,6,58,20.6,reward
10,1,0,57,21.4,reward
10,2,1,57,20.4,reward
10,3,10,57,16.4,reward
10,4,10,57,16.4,reward
10,5,7,57,19.4,reward
10,6,6,57,20.4,reward
10,7,5,57,16.4,reward
10,8,6,57,20.4,reward
10,9,5,57,16.4,reward
10,10,7,57,19.4,reward
